Name,Paper,Tracer Warning,Selection,Hide,Robust,Clean Accuracy,Robust Accuracy,Network,Backbone,Framework,Pretraining-Dataset,Training-Dataset,Visual Category,Visual Category_micro,Precision,Conv Weight Initializer,Optimizer,Task,Input Shape,Accessible
robustbench_Salman2020Do_50_2_imagenet_linf_13,https://arxiv.org/abs/2007.08489,,,,True,68.46,38.14,Salman2020Do_50_2,WideResNet-50-2,pytorch,False,imagenet,natural,,fp32,,,Classification,,
robustbench_Cui2020Learnable_34_10_LBGAT0_cifar100_linf_13,https://arxiv.org/abs/2011.11164,,,,True,70.25,27.16,Cui2020Learnable_34_10_LBGAT0,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Cui2020Learnable_34_20_cifar10_linf_13,https://arxiv.org/abs/2011.11164,,,,True,88.70,53.57,Cui2020Learnable_34_20,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rade2021Helper_extra_cifar10_linf_13,https://openreview.net/forum?id=BuD2LmNaU3a,,,,True,91.47,62.83,Rade2021Helper_extra,WideResNet-34-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Engstrom2019Robustness_cifar10_linf_13,https://github.com/MadryLab/robustness,,,,True,87.03,49.25,Engstrom2019Robustness,ResNet-50,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Addepalli2021Towards_WRN34_cifar10_linf_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,True,85.32,58.04,Addepalli2021Towards_WRN34,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Engstrom2019Robustness_imagenet_linf_13,https://github.com/MadryLab/robustness,,,,True,62.56,29.22,Engstrom2019Robustness,ResNet-50,pytorch,False,imagenet,natural,,fp32,,,Classification,,
robustbench_Gowal2020Uncovering_cifar100_linf_13,https://arxiv.org/abs/2010.03593,,,,True,60.86,30.03,Gowal2020Uncovering,WideResNet-70-16,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Sehwag2021Proxy_cifar10_linf_13,https://arxiv.org/abs/2104.09425,,,,True,85.85,59.09,Sehwag2021Proxy,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rade2021Helper_ddpm_cifar10_linf_13,https://openreview.net/forum?id=BuD2LmNaU3a,,,,True,88.16,60.97,Rade2021Helper_ddpm,WideResNet-28-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2020Uncovering_34_20_cifar10_linf_13,https://arxiv.org/abs/2010.03593,,,,True,85.64,56.86,Gowal2020Uncovering_34_20,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Ding2020MMA_cifar10_linf_13,https://openreview.net/forum?id=HkeryxBtPB,,,,True,84.36,41.44,Ding2020MMA,WideResNet-28-4,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Hendrycks2019Using_cifar100_linf_13,https://arxiv.org/abs/1901.09960,,,,True,59.23,28.42,Hendrycks2019Using,WideResNet-28-10,pytorch,True,cifar100,natural,,fp32,,,Classification,,
robustbench_Addepalli2021Towards_RN18_cifar10_linf_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,True,80.24,51.06,Addepalli2021Towards_RN18,ResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2020Uncovering_70_16_extra_cifar10_linf_13,https://arxiv.org/abs/2010.03593,,,,True,91.10,65.88,Gowal2020Uncovering_70_16_extra,WideResNet-70-16,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2020Uncovering_extra_cifar100_linf_13,https://arxiv.org/abs/2010.03593,,,,True,69.15,36.88,Gowal2020Uncovering_extra,WideResNet-70-16,pytorch,True,cifar100,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_R18_ddpm_cifar100_linf_13,https://arxiv.org/abs/2103.01946,,,,True,56.87,28.50,Rebuffi2021Fixing_R18_ddpm,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Salman2020Do_R18_imagenet_linf_13,https://arxiv.org/abs/2007.08489,,,,True,52.92,25.32,Salman2020Do_R18,ResNet-18,pytorch,False,imagenet,natural,,fp32,,,Classification,,
robustbench_Cui2020Learnable_34_10_cifar10_linf_13,https://arxiv.org/abs/2011.11164,,,,True,88.22,52.86,Cui2020Learnable_34_10,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Chen2020Efficient_cifar10_linf_13,https://arxiv.org/abs/2010.01278,,,,True,85.32,51.12,Chen2020Efficient,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_70_16_cutmix_ddpm_cifar100_linf_13,https://arxiv.org/abs/2103.01946,,,,True,63.56,34.64,Rebuffi2021Fixing_70_16_cutmix_ddpm,WideResNet-70-16,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Chen2020Efficient_cifar100_linf_13,https://arxiv.org/abs/2010.01278,,,,True,62.15,26.94,Chen2020Efficient,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Chen2021LTD_WRN34_20_cifar10_linf_13,https://arxiv.org/abs/2111.02331,,,,True,86.03,57.71,Chen2021LTD_WRN34_20,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_106_16_cutmix_ddpm_cifar10_linf_13,https://arxiv.org/abs/2103.01946,,,,True,88.50,64.64,Rebuffi2021Fixing_106_16_cutmix_ddpm,WideResNet-106-16,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2021Improving_R18_ddpm_100m_cifar10_linf_13,https://arxiv.org/abs/2110.09468,,,,True,87.35,58.63,Gowal2021Improving_R18_ddpm_100m,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_R18_ddpm_cifar10_linf_13,https://arxiv.org/abs/2103.01946,,,,True,83.53,56.66,Rebuffi2021Fixing_R18_ddpm,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Sehwag2020Hydra_cifar10_linf_13,https://arxiv.org/abs/2002.10509,,,,True,88.98,57.14,Sehwag2020Hydra,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Zhang2019You_cifar10_linf_13,https://arxiv.org/abs/1905.00877,,,,True,87.20,44.83,Zhang2019You,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Wu2020Adversarial_cifar10_linf_13,https://arxiv.org/abs/2004.05884,,,,True,85.36,56.17,Wu2020Adversarial,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Salman2020Do_R50_imagenet_linf_13,https://arxiv.org/abs/2007.08489,,,,True,64.02,34.96,Salman2020Do_R50,ResNet-50,pytorch,False,imagenet,natural,,fp32,,,Classification,,
robustbench_Rade2021Helper_R18_ddpm_cifar100_linf_13,https://openreview.net/forum?id=BuD2LmNaU3a,,,,True,61.50,28.88,Rade2021Helper_R18_ddpm,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Rice2020Overfitting_cifar10_linf_13,https://arxiv.org/abs/2002.11569,,,,True,85.34,53.42,Rice2020Overfitting,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
