,Robust,Normal,Arch
0,robustbench_Andriushchenko2020Understanding_cifar10_linf_13,hso_normal_training_robustbench_Andriushchenko2020Understanding_cifar10_13,PreActResNet-18
1,robustbench_Carmon2019Unlabeled_cifar10_linf_13,hso_normal_training_robustbench_Carmon2019Unlabeled_cifar10_13,WideResNet-28-10
2,robustbench_Sehwag2020Hydra_cifar10_linf_13,hso_normal_training_robustbench_Carmon2019Unlabeled_cifar10_13,WideResNet-28-10
3,robustbench_Wang2020Improving_cifar10_linf_13,hso_normal_training_robustbench_Carmon2019Unlabeled_cifar10_13,WideResNet-28-10
4,robustbench_Hendrycks2019Using_cifar10_linf_13,hso_normal_training_robustbench_Hendrycks2019Using_cifar10_13,WideResNet-28-10
5,robustbench_Rice2020Overfitting_cifar10_linf_13,hso_normal_training_robustbench_Rice2020Overfitting_cifar10_13,WideResNet-34-20
6,robustbench_Zhang2019Theoretically_cifar10_linf_13,hso_normal_training_robustbench_Zhang2019Theoretically_cifar10_13,WideResNet-34-10
7,robustbench_Engstrom2019Robustness_cifar10_linf_13,hso_normal_training_robustbench_Engstrom2019Robustness_cifar10_13,ResNet-50
8,robustbench_Chen2020Adversarial_cifar10_linf_13,hso_normal_training_robustbench_Chen2020Adversarial_cifar10_13,ResNet-50
9,robustbench_Huang2020Self_cifar10_linf_13,hso_normal_training_robustbench_Zhang2019Theoretically_cifar10_13,WideResNet-34-10
10,robustbench_Pang2020Boosting_cifar10_linf_13,hso_normal_training_robustbench_Pang2020Boosting_cifar10_13,WideResNet-34-20
11,robustbench_Wong2020Fast_cifar10_linf_13,hso_normal_training_robustbench_Wong2020Fast_cifar10_13,PreActResNet-18
12,robustbench_Ding2020MMA_cifar10_linf_13,hso_normal_training_robustbench_Ding2020MMA_cifar10_13,WideResNet-28-4
13,robustbench_Zhang2019You_cifar10_linf_13,hso_normal_training_robustbench_Zhang2019Theoretically_cifar10_13,WideResNet-34-10
14,robustbench_Zhang2020Attacks_cifar10_linf_13,hso_normal_training_robustbench_Zhang2019Theoretically_cifar10_13,WideResNet-34-10
15,robustbench_Wu2020Adversarial_extra_cifar10_linf_13,hso_normal_training_robustbench_Carmon2019Unlabeled_cifar10_13,WideResNet-28-10
16,robustbench_Wu2020Adversarial_cifar10_linf_13,hso_normal_training_robustbench_Wu2020Adversarial_cifar10_13,WideResNet-34-10
17,robustbench_Gowal2020Uncovering_70_16_cifar10_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_70_16_cifar10_13,WideResNet-70-16
18,robustbench_Gowal2020Uncovering_70_16_extra_cifar10_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_70_16_cifar10_13,WideResNet-70-16
19,robustbench_Gowal2020Uncovering_34_20_cifar10_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_34_20_cifar10_13,WideResNet-34-20
20,robustbench_Gowal2020Uncovering_28_10_extra_cifar10_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_28_10_extra_cifar10_13,WideResNet-28-10
21,robustbench_Sehwag2021Proxy_cifar10_linf_13,hso_normal_training_robustbench_Sehwag2021Proxy_cifar10_13,WideResNet-34-10
22,robustbench_Sehwag2021Proxy_R18_cifar10_linf_13,hso_normal_training_robustbench_Sehwag2021Proxy_R18_cifar10_13,ResNet-18
23,robustbench_Sitawarin2020Improving_cifar10_linf_13,hso_normal_training_robustbench_Zhang2019Theoretically_cifar10_13,WideResNet-34-10
24,robustbench_Chen2020Efficient_cifar10_linf_13,hso_normal_training_robustbench_Chen2020Efficient_cifar10_13,WideResNet-34-10
25,robustbench_Cui2020Learnable_34_20_cifar10_linf_13,hso_normal_training_robustbench_Cui2020Learnable_34_20_cifar10_13,WideResNet-34-20
26,robustbench_Cui2020Learnable_34_10_cifar10_linf_13,hso_normal_training_robustbench_Zhang2019Theoretically_cifar10_13,WideResNet-34-10
27,robustbench_Zhang2020Geometry_cifar10_linf_13,hso_normal_training_robustbench_Carmon2019Unlabeled_cifar10_13,WideResNet-28-10
28,robustbench_Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar10_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_28_10_extra_cifar10_13,WideResNet-28-10
29,robustbench_Rebuffi2021Fixing_106_16_cutmix_ddpm_cifar10_linf_13,hso_normal_training_robustbench_Rebuffi2021Fixing_106_16_cutmix_ddpm_cifar10_13,WideResNet-106-16
30,robustbench_Rebuffi2021Fixing_70_16_cutmix_ddpm_cifar10_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_70_16_cifar10_13,WideResNet-70-16
